Date,Open,High,Low,Close,Adj Close,Volume
9/2/2008,2.5505,2.5564,2.5414,2.542,2.542,-
9/3/2008,2.5415,2.5492,2.5263,2.5364,2.5364,-
9/4/2008,2.5366,2.5395,2.5208,2.5353,2.5353,-
9/7/2008,2.5431,2.5472,2.5034,2.5256,2.5256,-
9/8/2008,2.5245,2.5327,2.5093,2.5248,2.5248,-
9/9/2008,2.5245,2.5336,2.5135,2.523,2.523,-
9/10/2008,2.5221,2.5401,2.5164,2.5213,2.5213,-
9/11/2008,2.5219,2.573,2.5174,2.5675,2.5675,-
9/14/2008,2.5755,2.5907,2.5509,2.5577,2.5577,-
9/15/2008,2.5557,2.5776,2.5442,2.5598,2.5598,-
9/16/2008,2.56,2.6028,2.5514,2.5924,2.5924,-
9/17/2008,2.5926,2.6167,2.5914,2.5974,2.5974,-
9/18/2008,2.5941,2.6211,2.5724,2.6072,2.6072,-
9/21/2008,2.6099,2.6223,2.5949,2.613,2.613,-
9/22/2008,2.6138,2.632,2.6042,2.6294,2.6294,-
9/23/2008,2.6293,2.6447,2.6198,2.6294,2.6294,-
9/24/2008,2.6298,2.6498,2.6067,2.6171,2.6171,-
9/25/2008,2.6169,2.634,2.6144,2.6221,2.6221,-
9/28/2008,2.6098,2.6161,2.5711,2.5812,2.5812,-
9/29/2008,2.5808,2.5882,2.5445,2.5555,2.5555,-
9/30/2008,2.5557,2.5631,2.5356,2.5423,2.5423,-
10/1/2008,2.5436,2.5605,2.5362,2.5574,2.5574,-
10/2/2008,2.5568,2.5786,2.5499,2.5618,2.5618,-
10/5/2008,2.5651,2.5804,2.5468,2.5563,2.5563,-
10/6/2008,2.5568,2.5756,2.5411,2.5598,2.5598,-
10/7/2008,2.5601,2.5878,2.5292,2.5356,2.5356,-
10/8/2008,2.5347,2.5534,2.5148,2.5215,2.5215,-
10/9/2008,2.5201,2.5398,2.4892,2.5485,2.5485,-
10/12/2008,2.5271,2.565,2.5017,2.5467,2.5467,-
10/13/2008,2.5481,2.5714,2.539,2.5506,2.5506,-
10/14/2008,2.5506,2.5835,2.5342,2.539,2.539,-
10/15/2008,2.5386,2.5684,2.5386,2.5625,2.5625,-
10/16/2008,2.5633,2.571,2.5485,2.5576,2.5576,-
10/19/2008,2.5497,2.5857,2.5276,2.5302,2.5302,-
10/20/2008,2.5305,2.5381,2.4727,2.4729,2.4729,-
10/21/2008,2.4741,2.4741,2.4224,2.4276,2.4276,-
10/22/2008,2.4272,2.453,2.4176,2.4326,2.4326,-
10/23/2008,2.4308,2.4339,2.3105,2.3998,2.3998,-
10/27/2008,2.385,2.3858,2.3117,2.3435,2.3435,-
10/28/2008,2.3456,2.3922,2.3316,2.3914,2.3914,-
10/29/2008,2.3929,2.4602,2.388,2.4405,2.4405,-
10/30/2008,2.4409,2.4434,2.3892,2.4088,2.4088,-
10/31/2008,2.409,2.4313,2.3685,2.3693,2.3693,-
11/3/2008,2.3852,2.4036,2.3259,2.3336,2.3336,-
11/4/2008,2.334,2.3702,2.3172,2.3415,2.3415,-
11/5/2008,2.3404,2.3875,2.324,2.35,2.35,-
11/6/2008,2.3498,2.3733,2.3373,2.3402,2.3402,-
11/7/2008,2.3405,2.3687,2.3306,2.3395,2.3395,-
11/10/2008,2.3477,2.3562,2.32,2.3334,2.3334,-
11/11/2008,2.3328,2.3511,2.3087,2.3192,2.3192,-
11/12/2008,2.3197,2.3251,2.2412,2.2499,2.2499,-
11/13/2008,2.2509,2.2669,2.2144,2.2469,2.2469,-
11/14/2008,2.2466,2.2663,2.2264,2.2382,2.2382,-
11/17/2008,2.2314,2.2959,2.2297,2.2835,2.2835,-
11/18/2008,2.2837,2.3035,2.2773,2.2823,2.2823,-
11/19/2008,2.2812,2.322,2.2763,2.2899,2.2899,-
11/20/2008,2.2901,2.2953,2.2499,2.2575,2.2575,-
11/21/2008,2.2582,2.3023,2.2539,2.268,2.268,-
11/24/2008,2.2772,2.2951,2.2688,2.2894,2.2894,-
11/25/2008,2.2888,2.3388,2.2737,2.3268,2.3268,-
11/26/2008,2.3259,2.3309,2.2927,2.3153,2.3153,-
11/27/2008,2.315,2.338,2.315,2.3238,2.3238,-
11/28/2008,2.3234,2.332,2.3045,2.3251,2.3251,-
12/1/2008,2.321,2.3358,2.2668,2.271,2.271,-
12/2/2008,2.27,2.3044,2.2599,2.2762,2.2762,-
12/3/2008,2.2758,2.2801,2.243,2.25,2.25,-
12/4/2008,2.2496,2.2546,2.2144,2.2407,2.2407,-
12/5/2008,2.2409,2.2472,2.2151,2.239,2.239,-
12/8/2008,2.2373,2.2711,2.2211,2.2403,2.2403,-
12/9/2008,2.2415,2.243,2.2107,2.2189,2.2189,-
12/10/2008,2.2188,2.2312,2.2126,2.2166,2.2166,-
12/11/2008,2.2166,2.2376,2.2129,2.2339,2.2339,-
12/12/2008,2.2341,2.2494,2.202,2.2163,2.2163,-
12/15/2008,2.2245,2.2684,2.2027,2.2552,2.2552,-
12/16/2008,2.2552,2.2831,2.2404,2.2721,2.2721,-
12/17/2008,2.272,2.2852,2.2062,2.2253,2.2253,-
12/18/2008,2.2259,2.2376,2.1403,2.1659,2.1659,-
12/19/2008,2.1668,2.1969,2.1597,2.1716,2.1716,-
12/22/2008,2.1827,2.1827,2.1272,2.1463,2.1463,-
12/23/2008,2.1451,2.1535,2.1209,2.1382,2.1382,-
12/24/2008,2.1386,2.1444,2.1113,2.1245,2.1245,-
12/25/2008,2.1176,2.1953,2.1176,2.1319,2.1319,-
12/26/2008,2.1317,2.1346,2.1005,2.1023,2.1023,-
12/29/2008,2.1201,2.1258,2.0777,2.0891,2.0891,-
12/30/2008,2.0891,2.0965,2.067,2.0754,2.0754,-
12/31/2008,2.0747,2.1167,2.0699,2.0786,2.0786,-
1/1/2009,2.0337,2.124,2.0268,2.1151,2.1151,-
1/2/2009,2.1138,2.1356,2.0989,2.1171,2.1171,-
1/5/2009,2.1101,2.1707,2.0989,2.1648,2.1648,-
1/6/2009,2.1645,2.2024,2.1447,2.1884,2.1884,-
1/7/2009,2.1897,2.2445,2.1822,2.2243,2.2243,-
1/8/2009,2.2232,2.2707,2.2206,2.2521,2.2521,-
1/9/2009,2.2522,2.2694,2.237,2.262,2.262,-
1/12/2009,2.2399,2.2477,2.2021,2.2058,2.2058,-
1/13/2009,2.2059,2.2089,2.1536,2.1613,2.1613,-
1/14/2009,2.1618,2.1855,2.1552,2.1818,2.1818,-
1/15/2009,2.1806,2.1939,2.1703,2.1902,2.1902,-
1/16/2009,2.1902,2.2247,2.1861,2.1946,2.1946,-
1/19/2009,2.2057,2.2146,2.1491,2.1573,2.1573,-
1/20/2009,2.1571,2.1603,2.0869,2.095,2.095,-
1/21/2009,2.0937,2.1035,2.0536,2.0772,2.0772,-
1/22/2009,2.0772,2.0874,2.0534,2.0785,2.0785,-
1/23/2009,2.0779,2.0785,2.0393,2.0574,2.0574,-
1/26/2009,2.0508,2.1047,2.0392,2.0944,2.0944,-
1/27/2009,2.0949,2.1372,2.0875,2.1256,2.1256,-
1/28/2009,2.1256,2.1498,2.1201,2.1328,2.1328,-
1/29/2009,2.1327,2.1625,2.1166,2.1524,2.1524,-
1/30/2009,2.1523,2.2129,2.1394,2.22,2.22,-
2/2/2009,2.1741,2.1872,2.1291,2.1503,2.1503,-
2/3/2009,2.1497,2.1765,2.1442,2.1727,2.1727,-
2/4/2009,2.1726,2.191,2.1626,2.1828,2.1828,-
